Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
XGBoost,0.7362363463089217,0.7581494896279223,0.6838431838431839,0.7190818238600875,0.7355801991316686
Support Vector Machine,0.7355765706326516,0.7636149047378182,0.6725571725571725,0.7151993683379392,0.7347873455083531
Logistic Regression,0.7297852063631699,0.7578680203045686,0.6651321651321651,0.7084783296425182,0.7289755222649388
Random Forest,0.7083058426801554,0.7093783249734003,0.693050193050193,0.7011192067903553,0.7081147881422964
K-Nearest Neighbors,0.6932043105344183,0.6954454838214997,0.6734481734481734,0.6842700867597133,0.6929568940210319
Decision Tree,0.6416684993768785,0.642923505729328,0.6165726165726165,0.6294724075197089,0.641354210414584
